# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
RP11-134K1.3	ENSG00000235389	ENST00000418571	sense_intronic	1	0	0	102	0	0	0	43	7	0	2	0	1	0	0	0	0	0	51
RP11-139K1.2	ENSG00000227560	ENST00000420976	processed_pseudogene	0	0	0	22	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14
RP11-142O6.1	ENSG00000266371	ENST00000584382	sense_intronic	0	0	0	32	0	0	0	10	3	0	7	0	0	0	0	0	0	0	12
RP11-169K16.9	ENSG00000179743	ENST00000317122	antisense	0	0	0	12	0	0	0	0	3	0	1	0	0	0	0	0	0	0	8
RP11-203F8.1	ENSG00000255506	ENST00000529884	antisense	1	0	0	165	0	0	0	29	96	0	5	1	0	0	0	0	0	0	36
RP11-28F1.2	ENSG00000267701	ENST00000588307	sense_intronic	0	0	0	33	0	0	0	15	0	0	1	0	0	0	0	0	0	0	17
RP11-299P2.1	ENSG00000267766	ENST00000587475	sense_intronic	0	0	0	27	0	0	0	12	0	0	1	0	0	0	0	0	0	0	14
RP11-337N6.1	ENSG00000271996	ENST00000606200	antisense	0	0	0	43	0	0	0	15	11	0	3	0	0	0	0	0	0	0	14
RP11-337N6.2	ENSG00000271825	ENST00000606180	antisense	1	0	0	32	0	0	0	12	4	0	1	0	1	0	0	0	0	0	16
RP11-339F13.2	ENSG00000237210	ENST00000425993	processed_pseudogene	0	0	0	46	0	0	0	22	0	0	7	0	0	0	0	0	0	0	17
RP11-346C20.3	ENSG00000271009	ENST00000604855	lincRNA	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
RP11-346C20.4	ENSG00000272250	ENST00000606272	lincRNA	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
RP11-354M1.2	ENSG00000260798	ENST00000563916	antisense	0	0	0	49	0	0	0	7	28	0	4	0	0	0	0	0	0	0	10
RP11-360P21.2	ENSG00000229102	ENST00000435560	lincRNA	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140
RP11-379F12.3	ENSG00000243350	ENST00000458727	lincRNA	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
RP11-379F12.4	ENSG00000232638	ENST00000418270	lincRNA	0	0	0	29	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
RP11-380G5.2	ENSG00000224745	ENST00000416679	sense_intronic	0	1	0	23	0	0	0	12	4	0	1	0	0	1	0	0	0	0	7
RP11-380G5.3	ENSG00000213613	ENST00000395256	processed_pseudogene	0	0	0	22	0	0	0	11	0	0	2	0	0	0	0	0	0	0	9
RP11-403D15.1	ENSG00000254051	ENST00000518911	processed_pseudogene	0	0	0	75	0	0	0	33	0	0	4	0	0	0	0	0	0	0	38
RP11-403D15.2	ENSG00000255206	ENST00000526901	antisense	0	0	0	187	0	0	0	43	103	0	4	0	0	0	0	0	0	0	37
RP11-413M3.4	ENSG00000227512	ENST00000439501	antisense	0	0	0	33	0	0	0	11	0	0	2	0	0	0	0	0	0	0	20
RP11-435O5.4	ENSG00000271659	ENST00000604650	antisense	0	0	0	33	0	0	0	14	0	0	1	0	0	0	0	0	0	0	18
RP11-435O5.5	ENSG00000271155	ENST00000604104	antisense	0	0	0	44	0	0	0	23	0	0	11	0	0	0	0	0	0	0	10
RP11-435O5.6	ENSG00000271314	ENST00000605700	antisense	0	0	0	24	0	0	0	10	0	0	1	0	0	0	0	0	0	0	13
RP11-461L13.2	ENSG00000270751	ENST00000605147	antisense	0	0	0	20	0	0	0	8	0	0	1	0	0	0	0	0	0	0	11
RP11-461L13.3	ENSG00000270750	ENST00000603766	lincRNA	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
RP11-461L13.5	ENSG00000270883	ENST00000605407	lincRNA	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
RP11-465N4.4	ENSG00000234678	ENST00000419190	antisense	0	0	0	25	0	0	0	0	10	0	2	0	0	0	0	0	0	0	13
RP11-471L13.3	ENSG00000263648	ENST00000582566	processed_pseudogene	0	0	0	48	0	0	0	25	0	0	3	0	0	0	0	0	0	0	20
RP11-510N19.5	ENSG00000249007	ENST00000504773	sense_intronic	0	0	0	27	0	0	0	2	8	0	2	0	0	0	0	0	0	0	15
RP11-527D15.1	ENSG00000230920	ENST00000449531	lincRNA	0	0	0	117	0	0	0	45	25	0	1	0	0	0	0	0	0	0	46
RP11-57H14.2	ENSG00000233547	ENST00000369391	antisense	0	0	0	23	0	0	0	0	5	0	1	0	0	0	0	0	0	0	17
RP11-588H23.3	ENSG00000258168	ENST00000548687	antisense	0	1	0	119	0	0	0	26	91	0	3	0	0	1	0	0	0	0	0
RP11-611D20.2	ENSG00000237886	ENST00000429224	antisense	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
RP11-675M1.2	ENSG00000254705	ENST00000531176	antisense	0	0	0	130	0	0	0	40	47	0	5	0	0	0	0	0	0	0	38
RP11-729L2.2	ENSG00000267699	ENST00000590722	nonsense_mediated_decay	0	1	0	373	5	1	1	20	339	0	8	0	0	0	0	0	0	0	0
RP11-75C9.1	ENSG00000225706	ENST00000430766	lincRNA	0	0	0	156	0	0	0	45	27	0	19	0	0	0	0	0	0	0	65
RP11-75C9.2	ENSG00000234021	ENST00000419824	lincRNA	0	0	0	252	0	0	0	36	175	0	2	0	0	0	0	0	0	0	39
RP11-848P1.5	ENSG00000264107	ENST00000583377	antisense	0	0	0	23	0	0	0	0	4	0	1	0	0	0	0	0	0	0	18
RP11-87N24.1	ENSG00000234360	ENST00000437701	processed_pseudogene	0	0	0	62	0	0	0	31	0	0	3	0	0	0	0	0	0	0	28
RP11-87N24.2	ENSG00000226717	ENST00000429581	lincRNA	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
RP11-95J11.1	ENSG00000262516	ENST00000572774	processed_pseudogene	0	0	0	24	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15
RP11-982M15.2	ENSG00000258430	ENST00000557223	antisense	0	0	0	13	0	0	0	10	1	0	2	0	0	0	0	0	0	0	0
RP13-46H24.1	ENSG00000254739	ENST00000526431	antisense	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
RP3-443C4.2	ENSG00000233823	ENST00000451697	antisense	0	0	0	56	0	0	0	30	3	0	0	0	0	0	0	0	0	0	23
RP4-633O19__A.1	ENSG00000223695	ENST00000424761	lincRNA	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
RP5-1042I8.7	ENSG00000261662	ENST00000566949	sense_overlapping	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
RP5-1052M9.1	ENSG00000226532	ENST00000412004	processed_pseudogene	0	0	0	32	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14
RP5-1052M9.4	ENSG00000229825	ENST00000418891	processed_pseudogene	0	0	0	34	0	0	0	15	0	0	4	0	0	0	0	0	0	0	15
RP5-968P14.2	ENSG00000260063	ENST00000569378	antisense	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
RP5-991G20.1	ENSG00000259768	ENST00000563328	antisense	0	0	0	40	0	0	0	25	15	0	0	0	0	0	0	0	0	0	0
RP5-991G20.2	ENSG00000259209	ENST00000558618	antisense	0	0	0	41	0	0	0	17	5	0	0	0	0	0	0	0	0	0	19
RP5-991G20.4	ENSG00000259901	ENST00000569195	antisense	0	0	0	55	0	0	0	22	0	0	10	0	0	0	0	0	0	0	23
RPL21P122	ENSG00000241185	ENST00000578024	processed_transcript	0	0	0	42	0	0	0	0	9	0	0	0	0	0	0	0	0	0	33
RPL39P6	ENSG00000238173	ENST00000448289	processed_pseudogene	0	0	0	25	0	0	0	19	0	0	0	0	0	0	0	0	0	0	6
RPLP1P11	ENSG00000243686	ENST00000453002	processed_pseudogene	0	0	0	92	0	0	0	41	0	0	6	0	0	0	0	0	0	0	45
RPS26P3	ENSG00000212829	ENST00000540822	processed_pseudogene	0	0	0	83	0	0	0	38	0	0	6	0	0	0	0	0	0	0	39
RPS3AP42	ENSG00000244244	ENST00000471604	processed_pseudogene	0	0	0	62	0	0	0	30	0	0	6	0	0	0	0	0	0	0	26
SCAND3P1	ENSG00000232795	ENST00000439854	processed_pseudogene	0	0	0	36	0	0	0	14	0	0	6	0	0	0	0	0	0	0	16
SCARNA21	ENSG00000252409	ENST00000516600	snoRNA	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
SETD2	ENSG00000181555	ENST00000409792	protein_coding	1	5	13	315	0	0	0	1	314	13	0	0	0	0	0	1	0	5	0
SF3B1	ENSG00000115524	ENST00000335508	protein_coding	1	3	10	139	10	0	1	0	128	10	0	0	0	0	0	1	0	3	0
SH2D1A	ENSG00000183918	ENST00000371139	protein_coding	0	1	1	143	6	0	0	14	98	1	0	0	0	0	0	0	0	1	25
SMAD4	ENSG00000141646	ENST00000342988	protein_coding	0	1	8	235	28	0	5	0	178	8	0	0	0	0	0	0	0	1	24
SMARCA4	ENSG00000127616	ENST00000358026	protein_coding	2	8	14	284	0	0	0	6	278	14	0	0	0	1	0	2	0	8	0
SNORA25	ENSG00000201957	ENST00000365087	snoRNA	0	0	0	149	0	0	0	65	0	0	2	0	0	0	0	0	0	0	82
SNORA4	ENSG00000202434	ENST00000365564	snoRNA	0	0	0	28	0	0	0	11	0	0	0	0	0	0	0	0	0	0	17
SNORA40	ENSG00000252693	ENST00000516884	snoRNA	0	0	0	42	0	0	0	16	0	0	0	0	0	0	0	0	0	0	26
SNORA42	ENSG00000200385	ENST00000363515	snoRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
SNORD27	ENSG00000251699	ENST00000515890	snoRNA	0	0	0	98	0	0	0	48	0	0	2	0	0	0	0	0	0	0	48
SPEN	ENSG00000065526	ENST00000375759	protein_coding	2	9	25	209	2	1	3	0	207	25	0	2	0	1	0	0	0	7	0
SPOP	ENSG00000121067	ENST00000347630	protein_coding	0	2	0	224	5	1	4	0	215	0	0	0	0	0	0	0	0	1	0
STAG2	ENSG00000101972	ENST00000218089	protein_coding	0	4	5	559	4	0	5	19	525	5	0	0	0	0	0	0	0	4	6
SUPT4H1	ENSG00000213246	ENST00000225504	protein_coding	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
SYNE1	ENSG00000131018	ENST00000265368	protein_coding	1	11	11	229	3	0	0	30	199	11	0	0	1	2	0	0	0	9	0
TBX3	ENSG00000135111	ENST00000257566	protein_coding	1	10	13	63	4	0	5	0	50	13	0	0	0	1	0	1	0	9	5
TCF7L2	ENSG00000148737	ENST00000355995	protein_coding	0	3	5	477	3	0	0	0	474	5	0	0	0	0	0	0	0	3	0
TENM1	ENSG00000009694	ENST00000422452	protein_coding	1	7	20	473	20	0	0	13	440	20	0	0	0	0	0	1	0	7	0
TP53	ENSG00000141510	ENST00000269305	protein_coding	0	1	3	61	3	0	0	20	38	3	0	0	0	1	0	0	0	1	0
TTC19	ENSG00000011295	ENST00000486880	protein_coding	0	0	0	36	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0
TTC6	ENSG00000139865	ENST00000553443	protein_coding	0	0	0	25	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0
U6	ENSG00000271932	ENST00000605989	snRNA	0	0	0	46	0	0	0	20	0	0	1	0	0	0	0	0	0	0	25
U8	ENSG00000212145	ENST00000390843	snoRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ULK4	ENSG00000168038	ENST00000301831	protein_coding	0	0	0	211	0	0	0	1	210	0	0	0	0	0	0	0	0	0	0
VHL	ENSG00000134086	ENST00000256474	protein_coding	0	1	2	42	7	0	6	0	29	2	0	0	0	0	0	0	0	1	0
Y_RNA	ENSG00000201297	ENST00000364427	misc_RNA	0	0	0	54	0	0	0	25	0	0	1	0	0	0	0	0	0	0	28
Y_RNA	ENSG00000206967	ENST00000384240	misc_RNA	0	0	0	152	0	0	0	85	0	0	1	0	0	0	0	0	0	0	66
Y_RNA	ENSG00000251986	ENST00000516177	misc_RNA	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2
Y_RNA	ENSG00000252210	ENST00000516401	misc_RNA	0	0	0	88	0	0	0	37	0	0	2	0	0	0	0	0	0	0	49
ZAR1L	ENSG00000189167	ENST00000345108	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ZBTB17	ENSG00000116809	ENST00000375733	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ZFHX3	ENSG00000140836	ENST00000268489	protein_coding	3	19	41	912	15	0	9	0	867	41	0	0	1	0	0	2	0	19	22
ZIK1P1	ENSG00000237426	ENST00000456074	processed_pseudogene	0	0	0	50	0	0	0	26	0	0	5	0	0	0	0	0	0	0	19
snoU13	ENSG00000238295	ENST00000459157	snoRNA	0	0	0	37	0	0	0	17	0	0	0	0	0	0	0	0	0	0	20
snoU13	ENSG00000238345	ENST00000458986	snoRNA	0	0	0	23	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0
snoU13	ENSG00000238717	ENST00000459264	snoRNA	0	0	0	30	0	0	0	21	0	0	1	0	0	0	0	0	0	0	8
snoU13	ENSG00000238818	ENST00000459258	snoRNA	0	0	0	22	0	0	0	14	0	0	0	0	0	0	0	0	0	0	8
snoU13	ENSG00000238988	ENST00000458827	snoRNA	0	0	0	30	0	0	0	13	0	0	0	0	0	0	0	0	0	0	17
snoU13	ENSG00000239058	ENST00000459499	snoRNA	0	0	0	49	0	0	0	21	0	0	0	0	0	0	0	0	0	0	28
snoU13	ENSG00000239086	ENST00000459289	snoRNA	0	0	0	54	0	0	0	25	0	0	1	0	0	0	0	0	0	0	28
snoU13	ENSG00000251938	ENST00000516129	snoRNA	0	0	0	19	0	0	0	8	0	0	2	0	0	0	0	0	0	0	9
snoU13	ENSG00000271794	ENST00000607349	snoRNA	0	0	0	34	0	0	0	9	0	0	1	0	0	0	0	0	0	0	24
